label,env,arch,backend,batch_size,precision,elapsed_sec,images_per_sec,ai,attained_gflops,peak_gflops,peak_gbps
mac_mps_resnet50_fp32_bs16_r1,mps,resnet50,mps,16,fp32,16.423593584,97.42082278258111,17.32073770191416,1593.507868576103,11400,92
mac_mps_resnet50_fp32_bs16_r2,mps,resnet50,mps,16,fp32,16.530907833,96.78839275880439,17.20829608785493,1583.1632400826536,11400,92
mac_mps_resnet50_fp32_bs16_r3,mps,resnet50,mps,16,fp32,16.172324749999998,98.9344466385391,17.58984938707123,1618.2661436105532,11400,92
mac_cpu_resnet50_fp32_bs16_r1,cpu,resnet50,cpu,16,fp32,288.527265125,5.545403133068983,0.8638657257956692,90.70590120854527,2330,105
mac_mps_resnet50_fp32_bs32_r1,mps,resnet50,mps,32,fp32,31.481285291999995,101.64769228190255,18.07224539613021,1662.6465764439795,11400,92
mac_mps_resnet50_fp32_bs32_r2,mps,resnet50,mps,32,fp32,30.665350916999998,104.35230331005314,18.553106231280918,1706.8857732778445,11400,92
mac_mps_resnet50_fp32_bs32_r3,mps,resnet50,mps,32,fp32,31.472553916,101.67589222472301,18.077259147799015,1663.1078415975094,11400,92
mac_mps_vgg16_fp32_bs16_r1,mps,vgg16,mps,16,fp32,19.965796292,80.1370492115607,53.94903165323403,4963.3109120975305,11400,92
mac_mps_vgg16_fp32_bs16_r2,mps,vgg16,mps,16,fp32,20.276712375,78.90825546121108,53.12179589168387,4887.205222034916,11400,92
mac_mps_vgg16_fp32_bs16_r3,mps,vgg16,mps,16,fp32,20.41234575,78.38393585901316,52.76881889672727,4854.731338498908,11400,92
mac_mps_mobilenet_v2_fp32_bs16_r1,mps,mobilenet_v2,mps,16,fp32,11.29075875,141.70881119924735,1.8533626175746911,170.50936081687158,11400,92
mac_mps_mobilenet_v2_fp32_bs16_r2,mps,mobilenet_v2,mps,16,fp32,11.382633291,140.56501330540843,1.8384032636674659,169.13310025740685,11400,92
mac_mps_mobilenet_v2_fp32_bs16_r3,mps,mobilenet_v2,mps,16,fp32,11.583185417,138.13126030528431,1.8065730140685317,166.2047172943049,11400,92
mac_mps_mobilenet_v2_fp32_bs32_r1,mps,mobilenet_v2,mps,32,fp32,17.359056084,184.34182046047246,2.410945628615362,221.8069978326133,11400,92
mac_mps_mobilenet_v2_fp32_bs32_r2,mps,mobilenet_v2,mps,32,fp32,17.429500541,183.59676988290815,2.4012013588203196,220.91052501146942,11400,92
mac_mps_mobilenet_v2_fp32_bs32_r3,mps,mobilenet_v2,mps,32,fp32,17.646351292000002,181.34060390437338,2.371693711072285,218.1958214186502,11400,92
mac_mps_mobilenet_v2_fp32_bs64_r1,mps,mobilenet_v2,mps,64,fp32,35.98951425,177.8295743460889,2.325774118088226,213.9712188641168,11400,92
mac_mps_mobilenet_v2_fp32_bs64_r2,mps,mobilenet_v2,mps,64,fp32,36.713031792,174.32501996183817,2.2799392117612283,209.754407482033,11400,92
mac_cpu_resnet50_fp32_bs16_r2,cpu,resnet50,cpu,16,fp32,347.33701495800005,4.606477084492339,0.717599347507454,75.34793148828267,2330,105
mac_mps_mobilenet_v2_fp32_bs64_r3,mps,mobilenet_v2,mps,64,fp32,36.737559583,174.2086320551773,2.2784170128695886,209.61436518400217,11400,92
mac_cpu_resnet50_fp32_bs16_r3,cpu,resnet50,cpu,16,fp32,276.238914333,5.7920876349493415,0.9022943631996163,94.74090813595971,2330,105
mac_cpu_resnet50_fp32_bs32_r1,cpu,resnet50,cpu,32,fp32,452.158584958,7.07716298319812,1.102484055775253,115.76082585640158,2330,105
mac_cpu_resnet50_fp32_bs32_r2,cpu,resnet50,cpu,32,fp32,519.8187417500001,6.155991969868215,0.9589835659250644,100.69327442213176,2330,105
mac_cpu_resnet50_fp32_bs16_r1,cpu,resnet50,cpu,16,fp32,361.561961166,4.425244278574453,0.6893668086522319,72.38351490848434,2330,105
mac_cpu_resnet50_fp32_bs16_r2,cpu,resnet50,cpu,16,fp32,365.056154708,4.382887343126164,0.6827684236646167,71.69068448478475,2330,105
mac_cpu_resnet50_fp32_bs32_r3,cpu,resnet50,cpu,32,fp32,589.890185792,5.424738497223186,0.8450685273375093,88.73219537043848,2330,105
mac_cpu_vgg16_fp32_bs16_r1,cpu,vgg16,cpu,16,fp32,423.970221458,3.7738499522389253,2.2260425623653055,233.73446904835708,2330,105
mac_cpu_resnet50_fp32_bs16_r1,cpu,resnet50,cpu,16,fp32,362.45429016699995,4.414349735694406,0.6876696512109343,72.2053133771481,2330,105
mac_cpu_vgg16_fp32_bs16_r2,cpu,vgg16,cpu,16,fp32,429.098444708,3.728748075721399,2.199438776300363,230.9410715115381,2330,105
mac_cpu_resnet50_fp32_bs16_r2,cpu,resnet50,cpu,16,fp32,365.981364125,4.371807301787978,0.6810423691789872,71.50944876379366,2330,105
mac_cpu_vgg16_fp32_bs16_r3,cpu,vgg16,cpu,16,fp32,425.36026250000003,3.7615173326163722,2.218768045218969,232.9706447479917,2330,105
mac_cpu_resnet50_fp32_bs16_r3,cpu,resnet50,cpu,16,fp32,359.290767125,4.453217689959029,0.6937245209319061,72.84107469785013,2330,105
mac_cpu_resnet50_fp32_bs16_r1,cpu,resnet50,cpu,16,fp32,332.961323375,4.805362928588522,0.748581885645407,78.60109799276773,2330,105
mac_cpu_resnet50_fp32_bs16_r2,cpu,resnet50,cpu,16,fp32,334.633965334,4.781343694155587,0.7448401570661575,78.20821649194653,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r1,cpu,mobilenet_v2,cpu,16,fp32,1025.361944125,1.5604245985210339,0.01788153760988798,1.877561449038238,2330,105
mac_cpu_resnet50_fp32_bs16_r3,cpu,resnet50,cpu,16,fp32,330.410754625,4.842457388579623,0.7543604795247444,79.20785035009816,2330,105
mac_cpu_resnet50_fp32_bs32_r1,cpu,resnet50,cpu,32,fp32,548.372679958,5.835447528576895,0.9090489895234666,95.45014389996399,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r2,cpu,mobilenet_v2,cpu,16,fp32,1085.959489167,1.4733514610451095,0.016883731253808737,1.7727917816499175,2330,105
mac_cpu_resnet50_fp32_bs32_r2,cpu,resnet50,cpu,32,fp32,546.183874125,5.858832806308093,0.9126919600046792,95.83265580049132,2330,105
mac_cpu_resnet50_fp32_bs32_r3,cpu,resnet50,cpu,32,fp32,553.295730125,5.783525564668752,0.9009605595284012,94.60085875048212,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r3,cpu,mobilenet_v2,cpu,16,fp32,944.0199034999999,1.6948795190312427,0.019422311012343024,2.0393426562960175,2330,105
mac_cpu_vgg16_fp32_bs16_r1,cpu,vgg16,cpu,16,fp32,402.444220333,3.9757062448954787,2.3451094846387184,246.23649588706542,2330,105
mac_cpu_vgg16_fp32_bs16_r2,cpu,vgg16,cpu,16,fp32,404.972286,3.950887641728649,2.3304699871263597,244.69934864826777,2330,105
mac_cpu_vgg16_fp32_bs16_r3,cpu,vgg16,cpu,16,fp32,404.373720542,3.9567358577492353,2.333919614944235,245.0615595691447,2330,105
mac_cpu_mobilenet_v2_fp32_bs32_r1,cpu,mobilenet_v2,cpu,32,fp32,1355.94977025,2.3599694252759877,0.027043845679089667,2.839603796304415,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r1,cpu,mobilenet_v2,cpu,16,fp32,831.335238334,1.9246146755506335,0.02205493923770461,2.315768619958984,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r2,cpu,mobilenet_v2,cpu,16,fp32,856.44418775,1.8681894545906446,0.021408339772598386,2.2478756761228307,2330,105
mac_cpu_mobilenet_v2_fp32_bs32_r2,cpu,mobilenet_v2,cpu,32,fp32,1560.0510629579999,2.0512149095507852,0.023505702605469993,2.4680987735743494,2330,105
mac_cpu_mobilenet_v2_fp32_bs16_r3,cpu,mobilenet_v2,cpu,16,fp32,842.834782875,1.898355445823235,0.02175402408651934,2.2841725290845307,2330,105
mac_cpu_mobilenet_v2_fp32_bs32_r3,cpu,mobilenet_v2,cpu,32,fp32,811.3215587919999,3.944182137554156,0.04519798092119882,4.745787996725876,2330,105
mac_cpu_mobilenet_v2_fp32_bs64_r1,cpu,mobilenet_v2,cpu,64,fp32,747.35309125,8.563555934846747,0.09813325659469692,10.303991942443176,2330,105
mac_cpu_mobilenet_v2_fp32_bs64_r2,cpu,mobilenet_v2,cpu,64,fp32,763.0024455409999,8.38791544824229,0.09612052110589894,10.09265471611939,2330,105
mac_cpu_mobilenet_v2_fp32_bs64_r3,cpu,mobilenet_v2,cpu,64,fp32,749.124068583,8.543311139509736,0.09790126328366712,10.279632644785048,2330,105
