backend,hostname,arch,precision,batch_size,images_per_sec_mean,images_per_sec_std,runs
cpu,Alvins-MacBook,mobilenet_v2,fp32,16,1.74,0.19,6
cpu,Alvins-MacBook,mobilenet_v2,fp32,32,2.79,1.02,3
cpu,Alvins-MacBook,mobilenet_v2,fp32,64,8.5,0.1,3
cpu,Alvins-MacBook,resnet50,fp32,16,4.77,0.48,11
cpu,Alvins-MacBook,resnet50,fp32,32,6.02,0.57,6
cpu,Alvins-MacBook,vgg16,fp32,16,3.86,0.11,6
cuda,RTX4090,mobilenet_v2,amp,64,1558.85,4.56,3
cuda,RTX4090,mobilenet_v2,fp32,64,928.82,3.82,3
cuda,RTX4090,mobilenet_v2,amp,128,1533.75,0.56,3
cuda,RTX4090,mobilenet_v2,fp32,128,861.78,6.1,3
cuda,RTX4090,mobilenet_v2,amp,256,1367.85,4.15,3
cuda,RTX4090,mobilenet_v2,fp32,256,39.12,1.36,3
cuda,RTX4090,resnet50,amp,64,807.54,3.98,3
cuda,RTX4090,resnet50,fp32,64,415.22,1.82,3
cuda,RTX4090,resnet50,amp,128,764.5,3.32,3
cuda,RTX4090,resnet50,fp32,128,398.15,0.18,3
cuda,RTX4090,resnet50,amp,256,715.59,1.38,3
cuda,RTX4090,resnet50,fp32,256,8.8,0.18,2
cuda,RTX4090,vgg16,amp,64,399.22,0.62,3
cuda,RTX4090,vgg16,fp32,64,220.2,0.5,3
cuda,RTX4090,vgg16,amp,128,408.46,0.39,3
cuda,RTX4090,vgg16,fp32,128,47.3,0.19,3
cuda,RTX4090,vgg16,amp,256,27.73,0.32,3
cuda,RTX4090,vgg16,fp32,256,5.88,0.03,3
cuda,p1-gpu-l4,mobilenet_v2,fp32,128,359.5,7.82,4
cuda,p1-gpu-l4,resnet50,fp32,128,205.64,1.29,7
cuda,p1-gpu-l4,resnet50,amp,256,382.52,2.12,7
cuda,p1-gpu-l4,vgg16,fp32,64,148.26,0.88,4
mps,Alvins-MacBook,mobilenet_v2,fp32,16,140.14,1.83,3
mps,Alvins-MacBook,mobilenet_v2,fp32,32,183.09,1.56,3
mps,Alvins-MacBook,mobilenet_v2,fp32,64,175.45,2.06,3
mps,Alvins-MacBook,resnet50,fp32,16,97.71,1.1,3
mps,Alvins-MacBook,resnet50,fp32,32,102.56,1.55,3
mps,Alvins-MacBook,resnet50,fp32,64,89.26,2.35,3
mps,Alvins-MacBook,vgg16,fp32,16,79.14,0.9,3
mps,Alvins-MacBook,vgg16,fp32,32,67.07,13.75,3
mps,Alvins-MacBook,vgg16,fp32,64,76.55,1.66,3
